year,game_id,date,time,matchup,division,phase,bracket,venue,status
2025,cmmbe5g4q00aihxphrk6081jj,2025-07-11,09:10,"Class 2006 vs Class 05",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe5gx200aohxphre8dl87l,2025-07-11,10:20,"Class 08/09 vs Class 2010",Maroon,Pool,,FD Jungle,scheduled
2025,cmmbe5ho600auhxphuyp2fbw3,2025-07-12,01:00,"Class 2014 vs Class 2024",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5igu00b0hxph63m8o73u,2025-07-12,02:10,"Class 2016/17 vs Class 2020",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5j9100b6hxpha4akarmp,2025-07-12,03:20,"Class 2007 vs Class 08/09",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5k1e00bchxphqp2yhx2u,2025-07-12,04:30,"Class 75 vs Class 1988",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe5ksd00bihxph3o4g3cs7,2025-07-12,05:40,"Class 2025 vs Class 2022",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5lli00bohxphyihoqbyt,2025-07-12,06:50,"Class 18/19 vs Class 2023",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5mcm00buhxphe9p0i2zn,2025-07-12,08:00,"Class 1989 vs Class 84/85",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe5nal00c0hxphh0uv7ajb,2025-07-12,09:10,"Class 12 Pack vs Class 2021",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5o2p00c6hxphfgpk4gj6,2025-07-12,10:20,"Class 2013 vs Class 2015",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5oua00cchxphpwy0bo8u,2025-07-13,02:10,"Class 91 vs Class 430-5",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe5plt00cihxphcwtezps0,2025-07-13,03:20,"Class 2006 vs Class 2010",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5qem00cohxphhn01x0mx,2025-07-13,04:30,"Class 02/04 vs Class WMP1",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5r5t00cuhxphmugv5pmu,2025-07-13,05:40,"Class 96/97/2000 vs Class 05",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe5rwh00d0hxphwfa2s9n7,2025-07-13,06:50,"Class WMP5 vs Class WMP4",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5so500d6hxphtgobrjbf,2025-07-13,08:00,"Class WMP2 vs Class WMP3",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5tff00dchxphjutbh1sz,2025-07-14,08:00,"Class 79/80 vs Class WPP1",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe5u7000dihxphkpelkw5g,2025-07-14,09:10,"Class WMP7 vs Class WMP8",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5uy200dohxphtwirad68,2025-07-14,10:20,"Class WMP9 vs Class WMP6",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5vq200duhxph9zsc777z,2025-07-15,08:00,"Class 82/86/AD7/92 vs Class WPP2",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe5wkl00e0hxphb70rgf93,2025-07-15,09:10,"Class 99/01/03 vs Class WGP1",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe5xbp00e6hxphs3ck1o3n,2025-07-15,10:20,"Class 98 vs Class WGP2",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe5y4u00echxphishg9hdh,2025-07-16,08:30,"Class WMP11 vs Class WMP12",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5z4100eihxphexerlhr6,2025-07-16,09:45,"Class WMP10 vs Class WMP13",Maroon,Playoffs,MP,FD Jungle,scheduled
2025,cmmbe5zv800eohxphlc8y6gjo,2025-07-17,08:00,"Class TBD vs Class TBD",Special,Playoffs,TBD,FD Jungle,scheduled
2025,cmmbe60mx00euhxph0l39ifva,2025-07-17,09:10,"Class WPP3 vs Class WPP4",Platinum,Playoffs,PP,FD Jungle,scheduled
2025,cmmbe61f900f0hxphw9sufmxy,2025-07-17,10:20,"Class WGP3 vs Class WGP4",Gold,Playoffs,GP,FD Jungle,scheduled
2025,cmmbe627h00f6hxphazm4glpk,2025-07-18,08:00,"Class FS vs Class FS",Special,Playoffs,FS,FD Jungle,scheduled
2025,cmmbe630v00fchxphf7a5kxzp,2025-07-18,09:10,"Class 95 vs Class 90",Gold,Pool,,FD Jungle,scheduled
2025,cmmbe63t400fihxph9u6yn00u,2025-07-18,10:20,"Class WMP14 vs Class WMP15",Maroon,Playoffs,MP,FD Jungle,scheduled
